LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
Kimi-k1.6-IOI-high,880,86.02,1,0.11,2,0,0,0,2,0,2,0,0
Kimi-k1.6-IOI-high (easy),279,99.28,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI-high (medium),331,93.96,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI-high (hard),270,62.59,1,0.37,2,0.01,0,0,2,0,2,0,0
LLama3.3-70b-Ins,707,36.35,0,0,0,0,0,0,0,0,0,0,0
LLama3.3-70b-Ins (easy),238,83.61,0,0,0,0,0,0,0,0,0,0,0
LLama3.3-70b-Ins (medium),278,18.35,0,0,0,0,0,0,0,0,0,0,0
LLama3.3-70b-Ins (hard),191,3.66,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1,33,78.79,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (easy),14,100,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (medium),17,64.71,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (hard),24,41.67,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Ultra-253B-v1,880,77.73,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Ultra-253B-v1 (easy),279,98.57,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Ultra-253B-v1 (medium),331,82.48,0,0,0,0,0,0,0,0,0,0,0
Llama-3_1-Nemotron-Ultra-253B-v1 (hard),270,50.37,0,0,0,0,0,0,0,0,0,0,0
MetaStone-L1-7B,862,55.57,0,0,0,0,0,0,0,0,0,0,0
MetaStone-L1-7B (easy),278,90.29,0,0,0,0,0,0,0,0,0,0,0
MetaStone-L1-7B (medium),324,54.01,0,0,0,0,0,0,0,0,0,0,0
MetaStone-L1-7B (hard),260,20.38,0,0,0,0,0,0,0,0,0,0,0
Mistral-Large,880,37.27,0,0,0,0,0,0,0,0,0,0,0
Mistral-Large (easy),279,80.65,0,0,0,0,0,0,0,0,0,0,0
Mistral-Large (medium),331,27.19,0,0,0,0,0,0,0,0,0,0,0
Mistral-Large (hard),270,4.81,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (High),877,83.47,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (High) (easy),279,98.21,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (High) (medium),331,89.73,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (High) (hard),267,60.3,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Low),880,75.91,1,0.11,1,0,0,0,1,0,1,0,0
O1-2024-12-17 (Low) (easy),279,98.57,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Low) (medium),331,83.38,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Low) (hard),270,43.33,1,0.37,1,0,0,0,1,0,1,0,0
O1-2024-12-17 (Low)_prompt_old,712,74.72,1,0.14,4,0.01,0,0,4,0,4,0,0
O1-2024-12-17 (Low)_prompt_old (easy),238,97.9,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Low)_prompt_old (medium),279,78.85,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Low)_prompt_old (hard),195,40.51,1,0.51,4,0.02,0,0,4,0,4,0,0
O1-2024-12-17 (Med),878,78.47,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Med) (easy),279,98.92,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Med) (medium),331,84.59,0,0,0,0,0,0,0,0,0,0,0
O1-2024-12-17 (Med) (hard),268,49.63,0,0,0,0,0,0,0,0,0,0,0
O1-Mini-2024-09-12,874,68.88,1,0.11,1,0,0,0,1,0,1,0,0
O1-Mini-2024-09-12 (easy),279,94.98,0,0,0,0,0,0,0,0,0,0,0
O1-Mini-2024-09-12 (medium),330,73.64,1,0.3,1,0,0,0,1,0,1,0,0
O1-Mini-2024-09-12 (hard),265,35.47,0,0,0,0,0,0,0,0,0,0,0
O1-Preview-2024-09-12,880,55.57,5,0.57,9,0.01,0,0,9,0,9,0,0
O1-Preview-2024-09-12 (easy),279,94.27,0,0,0,0,0,0,0,0,0,0,0
O1-Preview-2024-09-12 (medium),331,56.8,1,0.3,1,0,0,0,1,0,1,0,0
O1-Preview-2024-09-12 (hard),270,14.07,4,1.48,8,0.03,0,0,8,0,8,0,0
O3 (High),991,90.21,3,0.3,5,0.01,0,0,5,0,3,2,0
O3 (High) (easy),321,99.38,0,0,0,0,0,0,0,0,0,0,0
O3 (High) (medium),371,92.72,2,0.54,4,0.01,0,0,4,0,2,2,0
O3 (High) (hard),299,77.26,1,0.33,1,0,0,0,1,0,1,0,0
O3-Mini-2025-01-31 (High),981,83.59,3,0.31,5,0.01,0,1,4,0,3,2,0
O3-Mini-2025-01-31 (High) (easy),321,99.38,0,0,0,0,0,0,0,0,0,0,0
O3-Mini-2025-01-31 (High) (medium),374,89.57,2,0.53,4,0.01,0,0,4,0,2,2,0
O3-Mini-2025-01-31 (High) (hard),286,58.04,1,0.35,1,0,0,1,0,0,1,0,0
O3-Mini-2025-01-31 (Low),940,79.26,2,0.21,4,0,0,2,2,0,2,2,0
O3-Mini-2025-01-31 (Low) (easy),321,98.13,0,0,0,0,0,0,0,0,0,0,0
O3-Mini-2025-01-31 (Low) (medium),368,80.71,1,0.27,2,0.01,0,0,2,0,0,2,0
O3-Mini-2025-01-31 (Low) (hard),251,52.99,1,0.4,2,0.01,0,2,0,0,2,0,0
O3-Mini-2025-01-31 (Med),959,82.9,1,0.1,2,0,0,0,2,0,0,2,0
O3-Mini-2025-01-31 (Med) (easy),322,98.76,0,0,0,0,0,0,0,0,0,0,0
O3-Mini-2025-01-31 (Med) (medium),373,87.4,1,0.27,2,0.01,0,0,2,0,0,2,0
O3-Mini-2025-01-31 (Med) (hard),264,57.2,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (High),1047,87.97,2,0.19,3,0,0,0,3,0,3,0,0
O4-Mini (High) (easy),321,98.75,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (High) (medium),383,92.69,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (High) (hard),343,72.59,2,0.58,3,0.01,0,0,3,0,3,0,0
O4-Mini (Low),1026,79.63,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (Low) (easy),322,98.14,0,0,0,0,0,0,0,0,0,0,0
